"","j1","j2","j3","j4","j5","j6","j7","j8","j9","j10","j11","j12","j13","j14","j15","j16","j17","j18","j19","j20","j21","j22","j23","j24","j25","j26","j27","j28","j29","j30","j31","j32","j33","j34","j35","j36","j37","j38","j39","j40","j41","j42","j43","j44","j45","j46","j47","j48","j49","j50","j51","j52","j53","j54","j55","j56","j57","j58","j59","j60","j61","j62","j63","j64","j65","j66","j67","j68","j69","j70","j71","j72","j73","j74","j75","j76","j77","j78","j79","j80","j81","j82","j83","j84","j85","j86","j87","j88","j89","j90","j91","j92","j93","j94","j95","j96","j97","j98","j99","j100"
"u22130",5.63,-7.82,4.85,3.74,-2.09,7.86,7.86,-7.86,7.86,5.87,7.77,-8.01,0.39,2.91,0.24,2.52,5.58,5.44,2.91,2.72,5.92,8.06,8.25,3.2,7.67,8.01,8.2,7.38,3.01,8.01,5.44,3.74,5.53,2.91,5.68,7.28,-8.74,5.97,5.97,7.91,5.58,8.54,5.73,8.2,5.53,5.68,7.82,5.24,7.91,5.83,5.19,5.68,7.96,7.96,5.58,6.02,7.67,5.39,6.07,3.16,8.5,7.38,3.98,-1.99,5.53,8.16,8.11,7.86,7.91,8.54,NA,NA,NA,NA,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u23521",-0.68,8.59,8.5,8.69,-1.46,8.74,8.69,4.13,8.35,-0.49,8.45,8.4,-1.31,8.54,3.45,3.2,-0.49,-9.17,-9.17,8.98,9.13,8.69,8.98,8.54,-0.63,9.08,8.88,8.79,8.98,8.74,8.45,8.83,-9.47,8.25,8.83,8.93,8.59,8.54,8.59,8.35,-0.44,8.69,-9.56,8.45,8.54,8.4,8.79,8.79,-0.44,8.83,8.88,8.69,9.13,9.03,8.35,8.45,8.11,-9.51,8.5,8.79,8.98,8.79,8.83,-0.53,8.88,-1.26,8.69,8.88,8.83,8.74,NA,NA,NA,NA,NA,NA,8.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03,NA
"u8016",2.04,-9.42,5.53,-3.83,-8.5,3.83,-3.06,-8.3,3.4,-4.61,0.39,2.43,-6.36,-0.83,-8.79,-8.16,-8.4,3.98,8.88,8.74,0.39,-3.5,-2.28,3.5,-9.22,-2.86,-6.31,-5.53,-9.47,-4.61,-9.66,0.92,-5,5.15,-8.4,7.23,-4.9,-4.76,1.36,2.91,-5.92,1.31,-2.82,-3.93,0.39,5.92,3.93,-4.71,0.44,-3.25,2.28,-4.42,0.87,-5.05,-2.82,-1.26,-0.78,-5.29,-7.33,-4.9,-2.57,5.73,-2.04,-5.83,-3.2,5.1,0.39,2.43,-3.4,-3.88,-4.95,7.23,8.11,-7.38,-2.82,8.93,8.54,3.2,6.99,8.83,5.29,0.44,7.62,-2.18,-4.27,1.65,5.78,-1.31,1.41,-0.24,2.72,1.26,4.61,1.84,1.84,1.94,-1.55,3.98,0.29,-0.58
"u17713",-0.24,1.6,8.54,-3.93,0.58,9.08,7.96,-7.72,-5.24,-9.66,-4.71,3.01,-8.2,-6.12,4.47,-9.66,-7.91,4.42,8.25,-3.25,-9.47,-5.53,-4.03,-8.98,5.92,-9.37,4.22,-0.44,7.28,7.48,8.06,7.33,6.41,-8.83,4.56,-3.5,-0.92,-4.56,-3.83,3.4,2.33,-7.43,-5.92,-9.27,3.35,-5.49,3.45,9.03,-5.19,7.67,0.44,6.02,7.57,8.25,-7.86,-2.09,-8.88,-8.93,-4.27,3.25,9.08,3.35,5.34,2.14,-8.74,6.31,-9.32,2.72,-6.89,-1.17,-9.32,7.33,6.55,-5.39,1.26,4.81,5.92,7.28,1.02,5.58,-6.46,-4.08,2.43,-5.1,7.91,-6.46,-2.91,2.96,7.52,5.05,0.68,7.52,0.97,-1.07,7.14,2.91,8.01,-9.32,1.94,-3.5
"u18273",-3.64,-3.3,-3.83,6.46,-3.2,1.12,-5.19,1.55,-2.67,0.87,0.97,-0.05,-5.53,1.36,-6.7,-8.2,4.81,-5.19,-6.36,-1.17,2.18,-2.72,-2.82,-1.31,-2.82,-0.53,2.33,-1.7,-0.29,-2.67,1.65,-2.09,-3.4,-1.41,1.84,0.1,-4.76,-0.44,-0.97,-3.25,-2.18,-4.17,-1.36,-3.25,-4.95,-6.36,5,-2.09,4.71,2.91,2.38,3.64,-0.24,8.2,-0.97,-5.1,-2.38,-4.27,-3.4,-2.67,8.16,-6.12,-7.14,-3.98,1.89,0.34,-4.08,1.17,0.87,-3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.05,NA,NA,NA,NA,NA,NA,NA,NA,1.89,NA,-0.78,-1.31,NA,NA,NA,NA
"u14922",-0.78,8.54,-0.78,3.35,2.67,8.25,-0.29,-1.75,0.19,6.8,5.53,6.07,1.7,6.99,-1.8,-3.64,-0.15,-2.33,2.43,1.6,4.37,4.81,4.95,-0.87,7.23,8.25,6.36,8.2,6.41,7.09,6.41,7.04,-0.78,6.17,6.31,7.72,-2.38,-0.24,6.26,6.26,6.12,7.96,2.91,4.03,6.99,6.65,4.32,7.28,8.45,7.72,6.5,8.01,8.16,8.64,4.42,8.25,-3.3,-1.26,-0.87,0.97,5.97,6.41,8.2,-2.67,6.17,6.89,-3.2,7.91,4.71,3.4,NA,4.17,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05
"u10653",NA,NA,NA,NA,3.25,NA,-6.36,1.02,NA,NA,NA,NA,-1.07,NA,-1.07,1.7,-6.84,3.74,1.65,-2.77,8.64,NA,NA,NA,NA,NA,6.8,5.29,8.35,NA,3.64,4.76,NA,2.72,3.74,8.88,NA,6.26,NA,NA,NA,6.31,NA,NA,NA,NA,NA,8.5,7.04,9.03,NA,NA,7.04,8.69,NA,8.64,NA,NA,NA,NA,NA,6.89,NA,NA,-0.1,2.72,NA,0.19,8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,NA,NA,NA,-0.24,NA,1.75,NA,NA,NA,NA,-0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u21063",NA,NA,NA,NA,3.79,NA,0.05,6.12,NA,NA,3.64,NA,3.35,0.05,-5.97,-5.87,1.21,6.12,4.32,3.4,-0.53,1.65,-7.33,NA,-6.46,-7.23,-3.35,0.92,-1.84,NA,3.98,4.61,NA,0.53,-6.12,-0.15,NA,2.43,3.16,-5.05,NA,1.02,NA,NA,-7.91,5.1,1.41,-7.62,-0.24,1.99,NA,2.18,-7.09,6.07,NA,2.43,NA,NA,NA,6.41,0.29,2.38,NA,NA,-4.95,-4.27,NA,4.03,-4.42,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95,NA
"u15728",NA,-1.21,5.87,NA,3.98,-0.92,5.49,3.5,NA,6.36,6.21,-0.83,-9.17,-0.92,-7.33,-7.91,-3.88,-5.78,-5.29,-5.29,-0.19,-0.73,-0.92,NA,6.21,-2.43,-8.59,-0.53,-0.44,-7.38,6.02,1.7,NA,-1.02,7.09,2.14,NA,-0.34,-2.33,-1.17,NA,5.97,NA,NA,-0.92,-2.57,-1.6,6.31,-1.55,3.25,-0.73,-0.83,2.33,1.26,-6.26,-2.43,NA,NA,-6.65,NA,6.21,6.5,-0.83,NA,5.87,-4.13,-3.01,0.83,6.26,-7.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u15051",-8.11,3.25,8.69,NA,-7.14,-4.17,4.47,0.83,NA,8.74,2.28,3.01,0.68,2.14,-1.31,-8.74,-4.42,-2.23,3.5,-1.17,3.74,1.02,-4.17,NA,3.4,-2.52,8.69,3.5,-1.31,NA,7.91,6.65,-5.34,-9.13,-3.01,7.91,-8.98,3.11,0.15,-3.64,-9.56,-3.25,-3.16,NA,-0.78,0.15,3.2,5.24,-0.29,4.85,-8.59,-8.83,-5.15,-3.83,-3.88,-3.35,NA,NA,NA,-7.86,-1.99,-0.34,-8.83,NA,-8.69,8.83,-8.01,5,-1.65,-0.68,NA,NA,NA,NA,NA,NA,NA,NA,-8.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.95,NA,NA,NA,-2.33,NA,NA,NA,NA,NA,NA,NA